2016-11-22 11:55:41 TZ=UTC UT=1479815741 GW_LAT=32.57100 GW_LON=0.32920 &: 0TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x5DC V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=0 LQI=255 DRP=131.78]
2016-11-22 11:57:52 TZ=UTC UT=1479815872 GW_LAT=32.57100 GW_LON=0.32920 &: 4TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x654 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=28 LQI=255 DRP=106.44]
2016-11-22 11:57:52 TZ=UTC UT=1479815872 GW_LAT=32.57100 GW_LON=0.32920 &: 4TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x654 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=0 LQI=236 DRP=143.58]
2016-11-22 11:57:52 TZ=UTC UT=1479815872 GW_LAT=32.57100 GW_LON=0.32920 &: 6TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x690 V_A1=0.76  V_A2=2.62  [ADDR=133.199 SEQ=31 RSSI=29 LQI=255 DRP=81.01]
2016-11-22 11:57:52 TZ=UTC UT=1479815872 GW_LAT=32.57100 GW_LON=0.32920 &: 6TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x690 V_A1=0.76  V_A2=2.62  [ADDR=133.199 SEQ=30 RSSI=0 LQI=255 DRP=124.50]
2016-11-22 12:00:02 TZ=UTC UT=1479816002 GW_LAT=32.57100 GW_LON=0.32920 &: 8TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x6CC V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=29 LQI=255 DRP=100.72]
2016-11-22 12:00:02 TZ=UTC UT=1479816002 GW_LAT=32.57100 GW_LON=0.32920 &: 8TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x6CC V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=0 LQI=224 DRP=139.29]
2016-11-22 12:00:02 TZ=UTC UT=1479816002 GW_LAT=32.57100 GW_LON=0.32920 &: :TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x708 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=28 LQI=255 DRP=106.96]
2016-11-22 12:00:02 TZ=UTC UT=1479816002 GW_LAT=32.57100 GW_LON=0.32920 &: :TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x708 V_A1=0.76  V_A2=2.63  [ADDR=133.199 SEQ=30 RSSI=0 LQI=255 DRP=143.97]
2016-11-22 12:02:11 TZ=UTC UT=1479816131 GW_LAT=32.57100 GW_LON=0.32920 &: <TXT=makg2-gnd  PS=1 P0=0x0 P0_LST60=0     UP=0x744 V_A1=0.77  V_A2=2.63  [ADDR=133.199 SEQ=31 RSSI=29 LQI=255 DRP=108.93]
